name	ref_name	loc	bel
ACL_CSN_OBUF_inst	OBUF	IOB_X0Y126	IOB33.OUTBUF
ACL_MOSI_OBUF_inst	OBUF	IOB_X0Y139	IOB33.OUTBUF
ACL_SCLK_OBUF_inst	OBUF	IOB_X0Y122	IOB33.OUTBUF
AN_OBUF[0]_inst	OBUF	IOB_X0Y104	IOB33.OUTBUF
AN_OBUF[1]_inst	OBUF	IOB_X0Y103	IOB33.OUTBUF
AN_OBUF[2]_inst	OBUF	IOB_X0Y52	IOB33.OUTBUF
AN_OBUF[3]_inst	OBUF	IOB_X0Y112	IOB33.OUTBUF
AN_OBUF[4]_inst	OBUF	IOB_X0Y83	IOB33.OUTBUF
AN_OBUF[5]_inst	OBUF	IOB_X0Y72	IOB33.OUTBUF
AN_OBUF[6]_inst	OBUF	IOB_X1Y104	IOB33.OUTBUF
AN_OBUF[7]_inst	OBUF	IOB_X0Y53	IOB33.OUTBUF
AUD_PWM_OBUF_inst	OBUF	IOB_X0Y141	IOB33.OUTBUF
AUD_SD_OBUF_inst	OBUF	IOB_X0Y138	IOB33.OUTBUF
BTNC_IBUF_inst	IBUF	IOB_X0Y82	IOB33.INBUF_EN
BTNU_IBUF_inst	IBUF	IOB_X0Y91	IOB33.INBUF_EN
CA_OBUF_inst	OBUF	IOB_X0Y51	IOB33.OUTBUF
CB_OBUF_inst	OBUF	IOB_X0Y50	IOB33.OUTBUF
CC_OBUF_inst	OBUF	IOB_X0Y100	IOB33.OUTBUF
CD_OBUF_inst	OBUF	IOB_X0Y116	IOB33.OUTBUF
CE_OBUF_inst	OBUF	IOB_X0Y74	IOB33.OUTBUF
CF_OBUF_inst	OBUF	IOB_X0Y62	IOB33.OUTBUF
CG_OBUF_inst	OBUF	IOB_X0Y92	IOB33.OUTBUF
CLK100MHZ_IBUF_BUFG_inst	BUFG	BUFGCTRL_X0Y16	BUFG.BUFG
CLK100MHZ_IBUF_inst	IBUF	IOB_X1Y126	IOB33.INBUF_EN
DP_OBUF_inst	OBUF	IOB_X0Y111	IOB33.OUTBUF
ETH_MDC_OBUF_inst	OBUF	IOB_X0Y178	IOB33.OUTBUF
ETH_RSTN_OBUF_inst	OBUF	IOB_X1Y130	IOB33.OUTBUF
ETH_TXD_OBUF[0]_inst	OBUF	IOB_X0Y172	IOB33.OUTBUF
ETH_TXD_OBUF[1]_inst	OBUF	IOB_X0Y175	IOB33.OUTBUF
ETH_TXEN_OBUF_inst	OBUF	IOB_X0Y177	IOB33.OUTBUF
GND	GND		
LED16_B_OBUF_inst	OBUF	IOB_X0Y90	IOB33.OUTBUF
LED16_G_OBUF_inst	OBUF	IOB_X0Y80	IOB33.OUTBUF
LED16_R_OBUF_inst	OBUF	IOB_X0Y78	IOB33.OUTBUF
LED17_B_OBUF_inst	OBUF	IOB_X0Y119	IOB33.OUTBUF
LED17_G_OBUF_inst	OBUF	IOB_X0Y99	IOB33.OUTBUF
LED17_R_OBUF_inst	OBUF	IOB_X0Y77	IOB33.OUTBUF
LED_OBUF[0]_inst	OBUF	IOB_X0Y114	IOB33.OUTBUF
LED_OBUF[10]_inst	OBUF	IOB_X0Y56	IOB33.OUTBUF
LED_OBUF[11]_inst	OBUF	IOB_X0Y69	IOB33.OUTBUF
